Vasyl Lomachenko
Danny Lopez
Ricardo Lopez
Joe Louis
Tommy Lowne
Sammy Luftspring
Jorge Luján
Ron Lyle
Benny Lynch
Kaizer Mabuza
Enzo Maccarinelli
Marcos Rene Maidana
Charlie Magri
Edwin Malave
Paul Malignaggi
Jakob Malz
Saoul Mamby
Lenny Mancini
Ray Mancini
Peter Manfredo
Rocky Marciano
Antonio Margarito
Juan Manuel Márquez
Rafael Márquez
Sergio Martínez
Lloyd Marshall
Bob Martin
Vanes Martirosyan
Oleg Maskaev
Henry Maske
Carlos Maussa
Joey Maxim
Andrew Maynard
Ricardo Mayorga
Floyd Mayweather Jr.
Floyd Mayweather Sr.
Jeff Mayweather
Roger Mayweather
Alessandro Mazzinghi
Samuel Mbugua
Jock McAvoy
Kevin McBride
Paul McCloskey
Gerald McClellan
Wayne McCullough
Glenn McCrory
John McDermott
Thomas McDonagh
Terry McGovern
Barry McGuigan
Victor McLaglen
Jimmy McLarnin
Lenny McLean
Peter McNeeley
Mike McTigue
Sam McVea
Kali Meehan
Carlos Melo
Boyd Melson
Daniel Mendoza
Jean-Paul Mendy
Alberto Mercado
Ray Mercer
Gus Mercurio
Joe Mesi
Dariusz Michalczewski
Tadashi Mihara
Karel Miljon
Freddie Mills
Edison Miranda
Brian Mitchell
Byron Mitchell
Kevin Mitchell
Sharmba Mitchell
Seth Mitchell
Javier Molina
John John Molina
Mahyar Monshipour
Pedro Montañez
Bob Montgomery
Carlos Monzón
Archie Moore
Lauren Moore
Michael Moorer
Sergio Mora
Érik Morales
Carroll Morgan
Steve Molitor
Jean-Marc Mormeck
Tommy Morrison
Shane Mosley
Anthony Mundine
Tony Mundine
John Mugabi
Takuya Muguruma
Bob Murphy
John Murray
Lovemore N'dou
Shigeo Nakajima
José Nápoles
Omar Andrés Narváez
Charlie Nash
Nobuo Nashiro
Rolando Navarrete
Orzubek Nazarov
Azumah Nelson
Johnny Nelson
Yutaka Niida
Yosuke Nishijima
Orlin Norris
Terry Norris
Ken Norton
Yoshiaki Numata
Michael Nunn
David Obregon
Victor Oganov
Sean O'Grady
Sam Olij
Rubén Olivares
Bobo Olson
George Olteanu
Ajose Olusegun
László Orbán
Carlos Ortiz
Manuel Ortiz
Victor Ortíz
Masao Ohba
Hideyuki Ohashi
Katsuya Onizuka
Sven Ottke
Said Ouali
Kassim Ouma
Irene Pacheco
Bobby Pacquiao
Manny Pacquiao
Greg Page
Gerry Peñalosa
Freddie Pendleton
Paul Pender
Rubén Darío Palacios
Carlos Palomino
Antonio Paoli
László Papp
Giovanni Parisi
Kubrat Pulev
Mate Parlov
